s_State,s_Volume,s_state_id,s_lat,s_lon,e_locality,e_locality_id,e_lat,e_lon,e_Volume
Khartoum,40610,SD01,15.851318,32.843002,Abu Jabrah,SD05140,10.9356,26.79963,43400
South Darfur,2250,SD03,11.00282,24.420469,Abu Jabrah,SD05140,10.9356,26.79963,43400
West Kordofan,665,SD18,11.906944,28.392115,Abu Jabrah,SD05140,10.9356,26.79963,43525
East Darfur,1250,SD05,11.017195,26.409638,Abu Jabrah,SD05140,10.9356,26.79963,1250
Khartoum,31560,SD01,15.851318,32.843002,Abu Karinka,SD05155,11.59401,26.55873,41585
South Darfur,25,SD03,11.00282,24.420469,Abu Karinka,SD05155,11.59401,26.55873,41585
East Darfur,10000,SD05,11.017195,26.409638,Abu Karinka,SD05155,11.59401,26.55873,41585
North Darfur,330,SD02,16.217571,25.556517,Abu Karinka,SD05155,11.59401,26.55873,330
Khartoum,36025,SD01,15.851318,32.843002,Ad Du'ayn,SD05142,11.42031,26.20074,120320
South Darfur,68005,SD03,11.00282,24.420469,Ad Du'ayn,SD05142,11.42031,26.20074,132820
West Kordofan,65,SD18,11.906944,28.392115,Ad Du'ayn,SD05142,11.42031,26.20074,120320
East Darfur,17000,SD05,11.017195,26.409638,Ad Du'ayn,SD05142,11.42031,26.20074,132820
North Darfur,7815,SD02,16.217571,25.556517,Ad Du'ayn,SD05142,11.42031,26.20074,120320
North Kordofan,3910,SD13,14.847728,29.761701,Ad Du'ayn,SD05142,11.42031,26.20074,120320
Khartoum,44625,SD01,15.851318,32.843002,Adila,SD05139,11.43547,27.00871,47225
South Darfur,3120,SD03,11.00282,24.420469,Adila,SD05139,11.43547,27.00871,48105
East Darfur,615,SD05,11.017195,26.409638,Adila,SD05139,11.43547,27.00871,47740
West Kordofan,260,SD18,11.906944,28.392115,Adila,SD05139,11.43547,27.00871,880
Khartoum,400,SD01,15.851318,32.843002,Al Fasher,SD02114,13.779,25.37041,16953
South Darfur,18538,SD03,11.00282,24.420469,Al Fasher,SD02114,13.779,25.37041,130995
North Darfur,143425,SD02,16.217571,25.556517,Al Fasher,SD02114,13.779,25.37041,162308
South Darfur,6315,SD03,11.00282,24.420469,Ag Geneina,SD04115,13.35858,22.35312,18615
West Darfur,20855,SD04,13.519303,22.616657,Ag Geneina,SD04115,13.35858,22.35312,24395
Central Darfur,900,SD06,12.402911,23.364413,Ag Geneina,SD04115,13.35858,22.35312,7515
Khartoum,900,SD01,15.851318,32.843002,Ag Geneina,SD04115,13.35858,22.35312,7515
East Darfur,12500,SD05,11.017195,26.409638,Al Firdous,SD05152,10.92772,25.9059,53000
Khartoum,33750,SD01,15.851318,32.843002,Al Firdous,SD05152,10.92772,25.9059,53000
South Darfur,7200,SD03,11.00282,24.420469,Al Firdous,SD05152,10.92772,25.9059,53450
Khartoum,25,SD01,15.851318,32.843002,Al Koma,SD02116,14.09588,27.28825,4115
North Darfur,4625,SD02,16.217571,25.556517,Al Koma,SD02116,14.09588,27.28825,4815
South Darfur,165,SD03,11.00282,24.420469,Al Koma,SD02116,14.09588,27.28825,4115
Central Darfur,25,SD06,12.402911,23.364413,Al lait,SD02169,11.941731,26.77957,6180
Khartoum,3420,SD01,15.851318,32.843002,Al lait,SD02169,11.941731,26.77957,6180
North Darfur,1821,SD02,16.217571,25.556517,Al lait,SD02169,11.941731,26.77957,6180
North Kordofan,60,SD13,14.847728,29.761701,Al lait,SD02169,11.941731,26.77957,6180
South Darfur,744,SD03,11.00282,24.420469,Al lait,SD02169,11.941731,26.77957,6180
West Kordofan,110,SD18,11.906944,28.392115,Al lait,SD02169,11.941731,26.77957,6180
Khartoum,915,SD01,15.851318,32.843002,Al Lait,SD02169,11.941731,26.77957,1330
North Darfur,55,SD02,16.217571,25.556517,Al Lait,SD02169,11.941731,26.77957,730
North Kordofan,45,SD13,14.847728,29.761701,Al Lait,SD02169,11.941731,26.77957,730
South Darfur,280,SD03,11.00282,24.420469,Al Lait,SD02169,11.941731,26.77957,730
West Darfur,35,SD04,13.519303,22.616657,Al Lait,SD02169,11.941731,26.77957,730
Khartoum,44593,SD01,15.851318,32.843002,Al Hasahisa,SD15034,14.78013,32.925545,55108
Khartoum,61503,SD01,15.851318,32.843002,Al Kamlin,SD15035,15.128601,32.940258,67392
Aj Jazirah,65,SD15,14.589485,33.27362,Al Malha,SD02117,17.564078,25.792038,6205
Central Darfur,40,SD06,12.402911,23.364413,Al Malha,SD02117,17.564078,25.792038,6205
East Darfur,100,SD05,11.017195,26.409638,Al Malha,SD02117,17.564078,25.792038,6205
Khartoum,255,SD01,15.851318,32.843002,Al Malha,SD02117,17.564078,25.792038,6205
North Darfur,5240,SD02,16.217571,25.556517,Al Malha,SD02117,17.564078,25.792038,6205
North Kordofan,320,SD13,14.847728,29.761701,Al Malha,SD02117,17.564078,25.792038,6205
South Darfur,185,SD03,11.00282,24.420469,Al Malha,SD02117,17.564078,25.792038,6205
Central Darfur,2000,SD06,12.402911,23.364413,Buram,SD03161,10.705195,25.093828,173410
Khartoum,9000,SD01,15.851318,32.843002,Buram,SD03161,10.705195,25.093828,173410
North Darfur,5020,SD02,16.217571,25.556517,Buram,SD03161,10.705195,25.093828,173410
South Darfur,154430,SD03,11.00282,24.420469,Buram,SD03161,10.705195,25.093828,173450
West Darfur,3000,SD04,13.519303,22.616657,Buram,SD03161,10.705195,25.093828,173410
Aj Jazirah,28992,SD15,14.589485,33.27362,Al Manaqil,SD15036,14.132764,32.934234,45567
Khartoum,18042,SD01,15.851318,32.843002,Al Manaqil,SD15036,14.132764,32.934234,47034
Aj Jazirah,38669,SD15,14.589485,33.27362,Al Qurashi,SD15037,14.305408,32.63886,68226
Khartoum,31600,SD01,15.851318,32.843002,Al Qurashi,SD15037,14.305408,32.63886,68236
South Darfur,77790,SD03,11.00282,24.420469,Nyala Janoub,SD03167,12.022886,24.825308,77965
West Darfur,175,SD04,13.519303,22.616657,Nyala Janoub,SD03167,12.022886,24.825308,70000
South Darfur,2795,SD03,11.00282,24.420469,Al Radoum,SD03141,9.704639,24.238636,2795
Central Darfur,2350,SD06,12.402911,23.364413,As Sunta,SD03156,10.660952,25.577011,101530
Khartoum,3525,SD01,15.851318,32.843002,As Sunta,SD03156,10.660952,25.577011,101530
North Darfur,4705,SD02,16.217571,25.556517,As Sunta,SD03156,10.660952,25.577011,101530
South Darfur,89775,SD03,11.00282,24.420469,As Sunta,SD03156,10.660952,25.577011,101530
West Darfur,1175,SD04,13.519303,22.616657,As Sunta,SD03156,10.660952,25.577011,101530
South Darfur,8675,SD03,11.00282,24.420469,Al Wihda,SD03150,12.863599,24.983601,8675
North Darfur,1365,SD02,16.217571,25.556517,Al Wihda,SD03150,12.863599,24.983601,1365
Central Darfur,1040,SD06,12.402911,23.364413,Kas,SD03144,12.474009,24.179044,54900
South Darfur,60160,SD03,11.00282,24.420469,Kas,SD03144,12.474009,24.179044,61200
West Darfur,600,SD04,13.519303,22.616657,As Serief,SD02118,13.960687,23.597457,600
Central Darfur,335,SD06,12.402911,23.364413,As Serief,SD02118,13.960687,23.597457,1710
North Darfur,1330,SD02,16.217571,25.556517,As Serief,SD02118,13.960687,23.597457,1710
South Darfur,45,SD03,11.00282,24.420469,As Serief,SD02118,13.960687,23.597457,1710
Central Darfur,1025,SD06,12.402911,23.364413,As Salam - SD,SD03166,11.648242,24.764545,4990
South Darfur,9575,SD03,11.00282,24.420469,As Salam - SD,SD03166,11.648242,24.764545,10600
South Darfur,141693,SD03,11.00282,24.420469,Beliel,SD03162,11.948623,25.132568,141693
East Darfur,15500,SD05,11.017195,26.409638,Assalaya,SD05163,11.672855,25.992083,19850
South Darfur,4400,SD03,11.00282,24.420469,Assalaya,SD05163,11.672855,25.992083,17900
North Darfur,1835,SD02,16.217571,25.556517,At Tawisha,SD02119,12.503779,26.59213,1835
West Darfur,52700,SD04,13.519303,22.616657,Azum,SD06110,12.882062,23.02057,52700
South Darfur,2000,SD03,11.00282,24.420469,Bahr Al Arab,SD05160,10.231793,26.701278,66920
East Darfur,15500,SD05,11.017195,26.409638,Bahr Al Arab,SD05160,10.231793,26.701278,66420
Khartoum,49420,SD01,15.851318,32.843002,Bahr Al Arab,SD05160,10.231793,26.701278,66420
West Kordofan,200,SD18,11.906944,28.392115,Bahr Al Arab,SD05160,10.231793,26.701278,200
North Darfur,570,SD02,16.217571,25.556517,At Tina,SD02171,15.167895,23.127019,570
Central Darfur,650,SD06,12.402911,23.364413,Sharg Aj Jabal,SD03147,12.875603,24.488907,24400
South Darfur,29895,SD03,11.00282,24.420469,Sharg Aj Jabal,SD03147,12.875603,24.488907,30545
Khartoum,2500,SD01,15.851318,32.843002,Kateila,SD03159,11.030976,24.286542,21250
South Darfur,26860,SD03,11.00282,24.420469,Kateila,SD03159,11.030976,24.286542,29360
South Darfur,19625,SD03,11.00282,24.420469,Tulus,SD03149,11.233746,24.946552,19625
North Darfur,375,SD02,16.217571,25.556517,Mershing,SD03145,12.553172,24.982087,16475
South Darfur,26145,SD03,11.00282,24.420469,Mershing,SD03145,12.553172,24.982087,26520
Central Darfur,2250,SD06,12.402911,23.364413,Ed Al Fursan,SD03143,11.680975,24.333004,25320
Khartoum,1625,SD01,15.851318,32.843002,Ed Al Fursan,SD03143,11.680975,24.333004,29995
North Darfur,885,SD02,16.217571,25.556517,Ed Al Fursan,SD03143,11.680975,24.333004,25985
South Darfur,24985,SD03,11.00282,24.420469,Ed Al Fursan,SD03143,11.680975,24.333004,29995
West Darfur,250,SD04,13.519303,22.616657,Ed Al Fursan,SD03143,11.680975,24.333004,1510
Central Darfur,5,SD06,12.402911,23.364413,Beida,SD04111,12.887752,22.042525,955
South Darfur,195,SD03,11.00282,24.420469,Beida,SD04111,12.887752,22.042525,955
West Darfur,755,SD04,13.519303,22.616657,Beida,SD04111,12.887752,22.042525,955
North Darfur,8745,SD02,16.217571,25.556517,Dar As Salam,SD02113,13.183605,25.319644,15326
South Darfur,7680,SD03,11.00282,24.420469,Dar As Salam,SD02113,13.183605,25.319644,15294
East Darfur,108,SD05,11.017195,26.409638,Dar As Salam,SD02113,13.183605,25.319644,1418
Khartoum,211,SD01,15.851318,32.843002,Dar As Salam,SD02113,13.183605,25.319644,3951
South Darfur,2910,SD03,11.00282,24.420469,Damso,SD03172,10.778127,24.514846,2910
South Darfur,9875,SD03,11.00282,24.420469,Rehaid Albirdi,SD03158,11.01135,23.560735,9875
Central Darfur,2615,SD06,12.402911,23.364413,Foro Baranga,SD04121,12.241949,22.60086,6425
East Darfur,185,SD05,11.017195,26.409638,Foro Baranga,SD04121,12.241949,22.60086,6425
Khartoum,755,SD01,15.851318,32.843002,Foro Baranga,SD04121,12.241949,22.60086,6425
South Darfur,885,SD03,11.00282,24.420469,Foro Baranga,SD04121,12.241949,22.60086,6425
West Darfur,1985,SD04,13.519303,22.616657,Foro Baranga,SD04121,12.241949,22.60086,6425
Central Darfur,35160,SD06,12.402911,23.364413,Gharb Jabal Marrah,SD06131,13.063795,24.006328,42865
Khartoum,205,SD01,15.851318,32.843002,Gharb Jabal Marrah,SD06131,13.063795,24.006328,33000
South Darfur,7500,SD03,11.00282,24.420469,Gharb Jabal Marrah,SD06131,13.063795,24.006328,33000
West Darfur,40900,SD04,13.519303,22.616657,Jebel Moon,SD04123,14.057811,22.878224,41645
Khartoum,434,SD01,15.851318,32.843002,Jebel Moon,SD04123,14.057811,22.878224,5525
North Darfur,311,SD02,16.217571,25.556517,Jebel Moon,SD04123,14.057811,22.878224,5525
South Darfur,1155,SD03,11.00282,24.420469,Gereida,SD03153,11.133086,25.368702,1155
South Darfur,6495,SD03,11.00282,24.420469,Nitega,SD03151,12.57805,25.271605,6495
Khartoum,1520,SD01,15.851318,32.843002,Kebkabiya,SD02124,13.609103,24.221376,6085
North Darfur,4150,SD02,16.217571,25.556517,Kebkabiya,SD02124,13.609103,24.221376,15155
South Darfur,1215,SD03,11.00282,24.420469,Kebkabiya,SD02124,13.609103,24.221376,6085
West Darfur,5300,SD04,13.519303,22.616657,Kebkabiya,SD02124,13.609103,24.221376,14855
Central Darfur,2970,SD06,12.402911,23.364413,Kebkabiya,SD02124,13.609103,24.221376,8770
West Darfur,13435,SD04,13.519303,22.616657,Habila - WD,SD04122,12.67591,22.45467,13435
Khartoum,1225,SD01,15.851318,32.843002,Kelemando,SD02126,13.131685,25.969161,5715
North Darfur,7280,SD02,16.217571,25.556517,Kelemando,SD02126,13.131685,25.969161,9940
South Darfur,1435,SD03,11.00282,24.420469,Kelemando,SD02126,13.131685,25.969161,6765
North Darfur,1110,SD02,16.217571,25.556517,Kernoi,SD02168,15.001922,23.532342,1385
South Darfur,105,SD03,11.00282,24.420469,Kernoi,SD02168,15.001922,23.532342,1310
West Darfur,170,SD04,13.519303,22.616657,Kernoi,SD02168,15.001922,23.532342,1235
Khartoum,15,SD01,15.851318,32.843002,Kernoi,SD02168,15.001922,23.532342,15
Aj Jazirah,18173,SD15,14.589485,33.27362,Janub Al Jazirah,SD15031,14.145362,33.421643,23388
Khartoum,5525,SD01,15.851318,32.843002,Janub Al Jazirah,SD15031,14.145362,33.421643,23698
West Darfur,40165,SD04,13.519303,22.616657,Kulbus,SD04127,14.51589,22.711433,40165
South Darfur,1030,SD03,11.00282,24.420469,Kulbus,SD04127,14.51589,22.711433,1030
North Darfur,103980,SD02,16.217571,25.556517,Kutum,SD02128,14.514787,24.700321,103980
North Darfur,32090,SD02,16.217571,25.556517,Melit,SD02129,14.272746,26.134034,32255
South Darfur,165,SD03,11.00282,24.420469,Melit,SD02129,14.272746,26.134034,28760
South Darfur,2725,SD03,11.00282,24.420469,Um Dafoug,SD03146,10.553461,23.76361,2725
